排名,CPU,TDP,实际频率,核心,线程,L2,L3
451,Intel Core i3-4010U,15,1700,2,4,512KB , 3M
452,Intel Core i3-4005U,15,1700,2,4,512KB , 3M
453,Intel Pentium Gold 4415Y,6,1600,2,4,512KB , 2M
454,Intel Core i3-3217U,17,1800,2,4,512KB , 3M
456,AMD A10-7300,19,1900,4,4,4MB,
457,AMD A8 Pro-7150B,19,1900,4,4,4MB,
458,Intel Pentium 4405Y,6,1500,2,4,512KB , 2M
459,Intel Core i5-4200Y,11,1400,2,4,512KB , 3M
460,Intel Pentium B970,35,2300,2,2,512KB , 2M
461,Intel Celeron 3765U,15,1900,2,2,512KB , 2M
462,Intel Pentium N4200,6,1100,4,4,2MB,
463,Intel Celeron 2950M,37,2000,2,2,512KB , 2M
464,AMD A8-7410,12,2200,4,4,2MB,
465,AMD A8-7100,19,1800,4,4,4MB,
466,Intel Core i3-4102E,25,1600,2,4,512KB , 3M
467,Intel Core i3-4030Y,11,1600,2,4,512KB , 3M
475,AMD A8-3550MX,45,2000,4,4,4MB,
476,AMD A4-5300,65,3400,2,2,2MB,
477,Intel Celeron N4100,6,1100,4,4,4MB,
478,Intel Celeron 1020M,35,2100,2,2,512KB , 2M
479,Intel Pentium Gold 4410Y,6,1500,2,4,512KB , 2M
480,Intel Celeron 3965Y,6,1500,2,2,512KB , 2M
481,Intel Pentium B960,35,2200,2,2,512KB , 2M
482,Intel Pentium 3805U,15,1900,2,2,512KB , 2M
483,Intel Core i3-4020Y,11,1500,2,4,512KB , 3M
484,Intel Core i3-4012Y,11,1500,2,4,512KB , 3M
485,AMD A8-6410,15,2000,4,4,2MB,
486,AMD A6-7310,12,2000,4,4,2MB,
487,AMD A6-6310,15,1800,4,4,2MB,
488,Intel Celeron 3755U,15,1700,2,2,512KB , 2M
489,Intel Celeron 3215U,15,1700,2,2,512KB , 2M
490,Intel Pentium B950,35,2100,2,2,512KB , 2M
491,AMD A8-3530MX,45,1900,4,4,4MB,
492,Intel Core i5-2537M,17,1400,2,4,512KB , 3M
493,AMD A8-3510MX,45,1800,4,4,4MB,
494,Intel Pentium 2127U,17,1900,2,2,512KB , 2M
495,Intel Pentium B940,35,2000,2,2,512KB , 2M
496,Intel Celeron 1005M,35,1900,2,2,512KB , 2M
499,AMD A4-7210,12,1800,4,4,2MB,
500,AMD A6-3430MX,45,1700,4,4,4MB,
501,Intel Pentium 3558U,15,1700,2,2,512KB , 2M
502,AMD A6-9225,10,2600,2,2,1MB,
503,AMD A6-9220,10,2500,2,2,1MB,
504,AMD A6-9220C,6,1800,2,2,1MB,
505,Intel Pentium 3556U,15,1700,2,2,512KB , 2M
506,Intel Pentium 2117U,17,1800,2,2,512KB , 2M
507,Intel Celeron 1000M,35,1800,2,2,512KB , 2M
508,Intel Celeron 1037U,17,1800,2,2,512KB , 2M
509,Intel Celeron 2981U,15,1600,2,2,512KB , 2M
510,Intel Celeron 2980U,15,1600,2,2,512KB , 2M
512,AMD A8-3520M,35,1600,4,4,4MB,
513,AMD A6-9210,10,2400,2,2,1MB,
514,AMD A10-4655M,25,2000,4,4,4MB,
515,AMD A8-4500M,35,1900,4,4,4MB,
516,AMD A8-4557M,35,1900,4,4,4MB,
517,AMD A6-3410MX,45,1600,4,4,4MB,
518,AMD A8-3500M,35,1500,4,4,4MB,
519,AMD A6-3420M,35,1500,4,4,4MB,
520,AMD A8-5545M,19,1700,4,4,4MB,
521,AMD A6-3400M,35,1400,4,4,4MB,
522,AMD A8-4555M,19,1600,4,4,4MB,
523,Intel Celeron B840,35,1900,2,2, , 2MB
524,AMD A6-5350M,35,2900,2,2,1MB,
525,AMD A6-5357M,35,2900,2,2,1MB,
526,Intel Pentium N3540,7,2160,4,4,2MB,
527,AMD A6-5200,25,2000,4,4,2MB,
528,Intel Celeron N3450,6,1100,4,4,2MB,
529,Intel Pentium N3710,6,1600,4,4,2MB,
531,Intel Celeron B830,35,1800,2,2, , 2MB
533,AMD A4-3330MX,45,2200,2,2,2MB,
534,AMD A4-5150M,35,2700,2,2,1MB,
535,AMD A6-4400M,35,2700,2,,1MB,
536,Intel Pentium J2900,10,2410,4,4,2MB,
537,AMD A4-4300M,35,2500,2,,1MB,
550,Intel Pentium N3530,7,2160,4,4,2MB,
551,Intel Celeron 1017U,17,1600,2,2,512KB , 2M
552,Intel Celeron 3205U,15,1500,2,2,512KB , 2M
553,Intel Celeron B820,35,1700,2,2,512KB , 2M
554,Intel Pentium N3700,6,1600,4,4,2MB,
555,Intel Pentium J2850,10,2400,4,4,2MB,
556,Intel Pentium N3520,7,2167,4,4,2MB,
557,Intel Celeron J1900,10,2000,4,4,2MB,
559,Intel Atom x7-Z8700,2,1600,4,4,2MB,
560,Intel Celeron N4000,6,1100,2,2,4MB,
561,AMD A4-9120,10,2200,2,2,1MB,
562,AMD A4-9120C,6,1600,2,2,1MB,
563,Intel Core i3-4010Y,11,1300,2,4,512KB , 3M
564,AMD E2-9010,10,2000,2,2,1MB,
565,AMD E2-7110,12,1800,4,4,2MB,
566,AMD A4-6210,15,1800,4,4,2MB,
567,AMD A6-8500P,15,1600,2,2,1MB,
568,AMD Pro A6-8500B,15,1600,2,2,1MB,
574,Intel Atom x5-Z8550,4,1440,4,4,2MB,
575,Intel Atom Z3795,4,1590,4,4,2MB,
