排名,CPU,TDP,实际频率,核心,线程,L2,L3
95,Intel Core i7-5750HQ,47,2500,4,8,1MB , 6MB
96,Intel Core i7-6820HK,45,2700,4,8,1MB , 8MB
97,Intel Core i7-6820HQ,45,2700,4,8,1MB , 8MB
98,Intel Core i7-6770HQ,45,2600,4,8,1MB , 6MB
99,Intel Core i7-6700T,35,2800,4,8,1MB , 6MB
100,AMD Ryzen 5 1400,65,3200,4,8,2MB , 8MB
101,Intel Core i5-8259U,28,2300,4,8,1MB , 6MB
102,Intel Core i5-8257U,15,1400,4,8,1MB , 6MB
103,Intel Core i7-4900MQ,47,2800,4,8,1MB , 8MB
104,Intel Core i7-4960HQ,47,2600,4,8,1MB , 6MB
105,Intel Core i7-6700HQ,45,2600,4,8,1MB , 6MB
106,Intel Core i7-4810MQ,47,2800,4,8,1MB , 6MB
107,Intel Core i7-4870HQ,47,2500,4,8,1MB , 6MB
108,AMD Ryzen 3 1300X,65,3500,4,4,2MB , 8MB
109,AMD Ryzen 7 3750H,35,2300,4,8,2MB , 4MB
110,AMD Ryzen 7 3700U,15,2300,4,8,2MB , 4MB
111,AMD Ryzen 7 PRO 3700U,15,2300,4,8,2MB , 4MB
112,Intel Core i7-8650U,15,1900,4,8,1MB , 8MB
113,Intel Core i7-3920XM,55,2900,4,8,1MB , 8MB
114,Intel Core i7-4800MQ,47,2700,4,8,1MB , 6MB
115,Intel Core i7-8665U,15,1900,4,8,1MB , 8MB
116,Intel Core i7-4950HQ,47,2400,4,8,1MB , 6MB
117,Intel Core i7-2700K,95,3500,4,8,1MB , 8MB
118,Intel Core i7-4860HQ,47,2400,4,8,1MB , 6MB
119,Intel Core i7-4720HQ,47,2600,4,8,1MB , 6MB
120,Intel Core i7-3840QM,45,2800,4,8,1MB , 8MB
121,Intel Core i7-4850HQ,47,2300,4,8,1MB , 6MB
122,Intel Core i7-4710HQ,47,2500,4,8,1MB , 6MB
123,Intel Core i7-4710MQ,47,2500,4,8,1MB , 6MB
124,Intel Core i7-1065G7,15,1300,4,8,2MB , 8MB
125,Intel Core i7-8565U,15,1800,4,8,1MB , 8MB
126,Intel Core i7-4770HQ,47,2200,4,8,1MB , 6MB
127,Intel Core i5-1035G7,15,1200,4,8,2MB , 6MB
128,Intel Core i5-1035G4,15,1100,4,8,2MB , 6MB
129,Intel Core i5-1035G1,15,1200,4,8,2MB , 6MB
130,Intel Core i7-3820QM,45,2700,4,8,1MB , 8MB
131,Intel Core i7-2600K,95,3400,4,8,1MB , 8MB
132,Intel Core i5-7440HQ,45,2800,4,4,1MB , 6MB
133,Intel Core i5-1034G1,15,800,4,8,2MB , 6MB
134,Intel Core i5-8365U,15,1600,4,8,1MB , 6MB
135,Intel Core i7-3740QM,45,2700,4,8,1MB , 6MB
136,Intel Core i7-3720QM,45,2600,4,8,1MB , 6MB
137,Intel Core i7-4700HQ,47,2400,4,8,1MB , 6MB
138,Intel Core i7-4700MQ,47,2400,4,8,1MB , 6MB
139,Intel Core i7-4760HQ,47,2100,4,8,1MB , 6MB
140,Intel Core i7-4722HQ,37,2400,4,8,1MB , 6MB
141,Intel Core i5-8265U,15,1600,4,8,1MB , 6MB
142,Intel Xeon E3-1226 v3,84,3300,4,4,1MB , 8MB
143,Intel Core i5-4590,84,3300,4,4,1MB , 6MB
144,AMD Ryzen 7 2800H,35,3300,4,8,2MB , 4MB
145,Intel Core i7-2960XM,55,2700,4,8,1MB , 8MB
146,AMD Ryzen 7 2700U,15,2200,4,8,2MB , 4MB
147,AMD Ryzen 7 PRO 2700U,15,2200,4,8,2MB , 4MB
148,AMD Ryzen 5 3550H,35,2100,4,8,2MB , 4MB
149,AMD Ryzen 5 3500U,15,2100,4,8,2MB , 4MB
150,AMD Ryzen 5 PRO 3500U,15,2100,4,8,2MB , 4MB
151,Intel Core i5-3570K,77,3400,4,4,1MB , 6MB
152,Intel Core i5-6500,65,3200,4,4,1MB , 6MB
153,Intel Core i7-7567U,28,3500,2,4,512KB , 4M
154,Intel Core i7-8550U,15,1800,4,8,1MB , 8MB
155,AMD Ryzen 5 2600H,45,3200,4,8,2MB , 4MB
156,Intel Core i7-7660U,15,2500,2,4,512KB , 4M
157,Intel Core i3-1005G1,15,1200,2,4,1MB , 4MB
158,Intel Core i7-7600U,15,2800,2,4,512KB , 4M
159,Intel Core i7-4712HQ,37,2300,4,8,1MB , 6MB
160,Intel Core i7-4712MQ,37,2300,4,8,1MB , 6MB
161,Intel Core i7-4750HQ,47,2000,4,8,1MB , 6MB
162,Intel Core i7-3635QM,45,2400,4,8,1MB , 6MB
163,Intel Core i7-3630QM,45,2400,4,8,1MB , 6MB
164,Intel Core i5-3550,77,3300,4,4,1MB , 6MB
165,Intel Core i7-4702HQ,37,2200,4,8,1MB , 6MB
166,Intel Core i7-4702MQ,37,2200,4,8,1MB , 6MB
167,Intel Core i7-2860QM,45,2500,4,8,1MB , 8MB
